dcNorm,icNorm,ecNorm,scNorm,bcNorm,ccNorm,NCNorm,PecNorm,IonNorm,P&Enorm,Vacuole,Vesicles,Lysosome,Membrane,Mitochondrion,Peroxisome,Secretory pathway,Cell wall,Cytoskeleton,Endoplasmic reticulum,Golgi,Transmembrane,Cytoplasm,Nucleus,Endosome,Extracellular,essential0,essential1
0.017857143,0.691644593,0.028994435,0.000840677,0.000752967,0.981981544,0.030646644,0.002415729,0.433830085,0.011534723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.010714286,0.467744186,0.005065756,2.57E-05,0.004872427,0.96833448,0,-0.027871989,0.49019397,-0.013801542,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.010714286,0.526355552,0.003410688,1.16E-05,0.0002002,0.967757235,0,0.013954225,0.50653377,0.013860452,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0.032142857,0.802591632,0.041660893,0.00173563,0.000536484,0.981574162,0.022984983,-0.014718937,0.367841945,-0.004009957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.014285714,0.642998117,0.016499679,0.000272239,0.00114048,0.979788279,0.020533252,0.011199939,0.221347893,0.022229118,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.057142857,0.881570318,0.061596953,0.003794184,0.003989598,0.986572686,0.041679436,0.00544884,0.351086437,0.060274639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.007142857,0.453208928,0.000410808,1.69E-07,3.95E-05,0.964107521,0,0,0.196077588,-0.010207409,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
0.010714286,0.577008616,0.025562693,0.000653451,0.000371409,0.981634815,0.030646644,0.014184499,0.250208622,0.027256679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.078571429,0.904372797,0.043127997,0.001860024,0.01251239,0.98499101,0.182347533,0.020190031,0.827176382,0.112442344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.007142857,0.42371487,0.00099814,9.96E-07,0.000500647,0.962701168,0,-0.008326028,0.212417387,-0.005513386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.017857143,0.69183159,0.01488664,0.000221612,0.000539041,0.97831002,0.015323322,-0.016831286,0.415812084,-0.016374244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
