dc,ic,ec,sc,bc,cc,nc,ION,essential0,essential1
0.016949153,0.578484904,0.000132821,5.85E-07,0.001336548,0.007460746,0,0,0,1
0.056497175,0.865172799,0.010661095,0.003771001,0.000681922,0.007498466,0.013124648,0.251100897,0,1
0.175141243,0.957951182,0.045035696,0.067292113,0.0252068,0.007523279,0.044897234,0.118854466,0,1
0.15819209,0.949022116,0.02373077,0.018684197,0.061517052,0.007521847,0.080503758,0.611890851,0,1
0.005649718,0.346686423,0.000213526,1.51E-06,0,0.007448474,0,0.025252525,0,1
0.011299435,0.518050078,0.000388994,5.02E-06,0,0.007464424,0.029530458,0.282050329,0,1
0.016949153,0.507083378,0.000145284,7.00E-07,0.020456973,0.007452363,0,0.5,0,1
0.073446328,0.889816724,0.005362332,0.000954022,0.012120933,0.007510159,0.026337185,0.198706868,0,1
0.016949153,0.602604513,0.000777228,2.00E-05,9.35E-05,0.007470745,0.014765229,0.643861055,0,1
0.011299435,0.466747664,1.25E-05,5.16E-09,0.000985543,0.007418454,0,0,0,1
0.429378531,0.987213164,0.048759836,0.078881675,0.236360589,0.007530824,0.121221491,0.594763346,0,1
0.016949153,0.61607433,0.001521642,7.68E-05,0.009029123,0.007483686,0,0.070707071,0,1
0.265536723,0.974765218,0.053874554,0.096298444,0.056627325,0.007525709,0.176659424,0.142223378,0,1
0.033898305,0.768889812,0.002227076,0.00016456,0.002120547,0.007486892,0.006644353,0.286881368,0,1
0.011299435,0.509367823,0.00013926,6.43E-07,5.40E-05,0.007451263,0,0.03030303,0,1
0.265536723,0.97449675,0.036499581,0.044200588,0.04767522,0.007514983,0.062463124,0.364093321,0,1
0.005649718,0.378357974,0.001814652,0.000109254,0,0.007469005,0,0.363636364,0,1
0.016949153,0.650297398,0.003367353,0.000376211,1.53E-05,0.007486255,0.014765229,0.525789388,0,1
0.04519774,0.789890886,0.002845455,0.000268631,0.013708645,0.007488846,0.008437274,0.291868033,0,1
0.016949153,0.601210668,0.000534386,9.47E-06,0.003243819,0.007474042,0,0.070707071,0,1
